TF	Experiment	cellLine
GATA2	GSM1888547	unknown
RAD21	GSM1239446	unknown
NR3C1	GSM2735374	unknown
HOTAIR	GSM820436	unknown
STAT3	GSM935276	unknown
POLR2A	GSM2055561	unknown
POLR2A	GSM2316358	unknown
BCOR	ENCSR808AKZ_2	K562
ESR1	GSM631462	unknown
HIRA	GSM1936755	unknown
POLR2A	GSM1465033	unknown
BRD4	GSM2330580	unknown
TP63	GSM1366694	unknown
EZH2	GSM2029369	unknown
REST	GSM1290162	unknown
REST	ENCSR896UBV_2	HEK293
NKX2-1	GSM983100	unknown
ZBTB17	GSM1181982	unknown
POLR2A	GSM1846797	unknown
SPI1	GSM638310	unknown
TFAP4	ENCSR103SZL_2	HepG2
ELF1	ENCSR975SSR_2	K562
NFATC1	GSM1208346	unknown
RNF2	ENCSR820GND_1	K562
EP300	ENCSR260WCE_1	unknown
RELA	GSM486293	unknown
USF2	GSM2574784	unknown
FAIRE	GSM748524	unknown
JUN	GSM1848883	unknown
EZH2	GSM1003532	unknown
ZIM3	GSM2466457	unknown
POLR2A	GSM2789807	unknown
AGO1	GSM1369944	unknown
CTCF	GSM749678	unknown
CTCF	GSM1006881	unknown
REST	GSM1290151	unknown
FOXA1	GSM1538430	unknown
MAX	GSM935406	unknown
GRIP1	GSM2661805	unknown
EP300	GSM1517561	unknown
CBFB	GSM726977	unknown
SETDB1	GSM935458	unknown
BCL3	ENCSR639KFO_1	unknown
MYC	GSM2049320	unknown
POLR2A	GSM1195568	unknown
ZEB1	ENCSR909HMT_2	HEK293
MED12	GSM1208646	unknown
POLR2A	GSM1122307	unknown
STAT3	GSM1227206	unknown
HSF1	GSM1116672	unknown
TAL1	GSM2026055	unknown
KLF5	GSM1250895	unknown
SMC1A	GSM2592812	unknown
FOXA1	GSM2537217	unknown
YY1	GSM803470	unknown
ZBTB7A	GSM1939579	unknown
CEBPB	ENCSR853DWE_3	unknown
ZKSCAN1	ENCSR449UFF_1	MCF-7
POLR2A	GSM1006876	unknown
POLR2A	GSM1850204	unknown
TCF4	GSM460124	unknown
SMC3	GSM2813843	unknown
POLR2A	GSM1654506	unknown
GRHL3	GSM1034504	unknown
ESR1	GSM2112800	unknown
AR	GSM717393	unknown
BRD4	GSM2359455	unknown
ESR1	GSM798426	unknown
CTCF	GSM1022665	unknown
ERG	GSM1328978	unknown
NR3C1	GSM2797141	unknown
POLR2A	GSM1820479	unknown
SUPT5H	GSM2367759	unknown
USF1	GSM1010836	unknown
CEBPB	GSM1010878	unknown
NELFE	GSM2151632	unknown
TRIM28	GSM1399258	unknown
POLR2A	GSM1265864	unknown
FOS	GSM730704	unknown
EP300	GSM1290186	unknown
CTCF	GSM1022644	unknown
POLR2A	GSM1328965	unknown
FAIRE	GSM491291	unknown
FOS	GSM777644	unknown
POLR2A	GSM1405135	unknown
ESR1	GSM2467222	unknown
MEF2B	GSM1703892	unknown
RAD21	GSM803416	unknown
GATA6	GSM1250901	unknown
ZEB1	ENCSR909HMT_1	HEK293
POLR2A	GSM1164249	unknown
MED1	GSM1679124	unknown
MECP2	GSM1154506	unknown
TRIM28	GSM700359	unknown
ESR1	GSM2797113	unknown
GRIP1	GSM2661799	unknown
USF2	GSM2550224	unknown
EP300	ENCSR686BQM_2	A549
POLR2A	GSM2571058	unknown
POU2F2	GSM2095819	unknown
POLR2A	GSM866198	unknown
KDM1A	GSM1619040	unknown
GRHL3	GSM2498560	unknown
XBP1	GSM1276190	unknown
AR	GSM2412292	unknown
REL	GSM2628092	unknown
CEBPB	GSM935519	unknown
POLR2A	GSM1636934	unknown
POLR2A	GSM935389	unknown
YAP1	GSM1524329	unknown
GATA1	GSM722412	unknown
ZNF324	GSM2026747	unknown
MEIS1	GSM638316	unknown
PBX2	ENCSR633EIC_2	K562
STAT3	GSM1227211	unknown
PAX5	GSM803334	unknown
NIPBL	GSM2809637	unknown
EZH2	GSM1003529	unknown
ESR1	GSM2797093	unknown
SPI1	GSM1566549	unknown
TCF12	GSM803389	unknown
PPARG	GSM1571728	unknown
CTCF	GSM2316308	unknown
POLR2A	GSM722710	unknown
MTA3	GSM1642517	unknown
HINFP	ENCSR619GFP_1	K562
KLF13	ENCSR608HVP_1	K562
CEBPB	GSM1010889	unknown
POLR2A	GSM980653	unknown
AR	GSM1816382	unknown
CTCF	GSM803456	unknown
NIPBL	GSM1240822	unknown
BRD4	GSM1961130	unknown
CTCF	GSM749764	unknown
POLR2A	GSM1482893	unknown
POLR2A	GSM1091914	unknown
ESR1	GSM1669141	unknown
SUPT5H	GSM1280295	unknown
MAZ	GSM1003613	unknown
CTCF	GSM1224654	unknown
MAF	GSM1859072	unknown
BRD4	GSM2188513	unknown
CEBPB	GSM1684635	unknown
POLR2A	GSM2579063	unknown
EP300	ENCSR770OTI_2	unknown
POLR2A	GSM1405112	unknown
ESR1	GSM2305313	unknown
SRF	GSM1505773	unknown
FOXA2	GSM2977506	unknown
SMARCA4	GSM935511	unknown
CEBPB	GSM2871156	unknown
BCL3	ENCSR948JXU_2	unknown
ZMYND8	GSM2029582	unknown
FOXA1	GSM803461	unknown
HEXIM1	GSM1382443	unknown
MEN1	GSM2264619	unknown
KDM5C	GSM2029587	unknown
ZNF146	GSM2026805	unknown
BRD4	GSM2676802	unknown
MED12	GSM1970177	unknown
SRSF3	ENCSR893LEC_1	unknown
SMAD3	GSM897116	unknown
BATF	GSM803538	unknown
NR3C1	GSM759669	unknown
JUN	GSM2266292	unknown
RAD21	GSM2038348	unknown
TCF7L2	GSM722401	unknown
MED1	GSM2802953	unknown
CEBPA	GSM722424	unknown
ATF1	ENCSR159OCC_2	K562
SMARCA4	GSM1835882	unknown
CHD7	GSM830990	unknown
ZNF24	ENCSR385AHH_1	K562
POLR2A	GSM569087	unknown
SMARCE1	ENCSR157TCS_2	K562
SMAD3	GSM1246714	unknown
FOXA1	GSM2644577	unknown
ZBTB11	ENCSR882ZTS_2	HEK293
POLR2A	GSM2442784	unknown
CTCF	GSM1234079	unknown
TRIM24	ENCSR907MZR_2	K562
KDM5B	GSM1122659	unknown
POLR2A	GSM2151679	unknown
ZBTB16	GSM2947310	unknown
POLR2A	GSM2643547	unknown
HES2	ENCSR964KSS_2	unknown
POLR2A	GSM2042908	unknown
EP300	GSM1252943	unknown
CTCF	ENCSR617IFZ_2	HEK293
GABPA	ENCSR038RXU_1	MCF-7
CTCF	GSM822285	unknown
KLF9	ENCSR076EZB_2	HEK293
ELL2	GSM1727075	unknown
SUMO1	GSM1012763	unknown
TP53	GSM2046276	unknown
ZEB2	ENCSR004GKA_1	K562
POLR2A	GSM2042905	unknown
POLR2A	GSM874634	unknown
RAD21	GSM1888554	unknown
MED1	GSM1038276	unknown
FOXA1	GSM699634	unknown
SUZ12	GSM1003573	unknown
POLR2A	GSM1527698	unknown
ZNF486	GSM1467732	unknown
POLR2B	GSM938409	unknown
SETDB1	GSM2514497	unknown
RFX1	ENCSR968GIB_1	K562
FOXJ2	ENCSR847LBF_1	K562
POLR2A	GSM1545671	unknown
NFE2	GSM1816086	unknown
MCM7	ENCSR542WJU_2	K562
STAT3	GSM2278009	unknown
MAML3	GSM1693100	unknown
EP300	ENCSR792VMN_1	unknown
NFE2L1	ENCSR632SHZ_1	K562
CEBPA	GSM722423	unknown
CD74	GSM2356327	unknown
POLR2A	GSM1533412	unknown
POLR2A	GSM1846790	unknown
SSRP1	GSM1103548	unknown
HDAC8	ENCSR835TCD_2	K562
AR	GSM1071295	unknown
YY1	GSM803513	unknown
AR	GSM1717861	unknown
POLR2A	GSM2572690	unknown
TET3	GSM1018960	unknown
KMT2A	GSM2364550	unknown
ZNF24	ENCSR385AHH_2	K562
SMC3	GSM897119	unknown
POLR2A	GSM2309435	unknown
JUN	GSM1503219	unknown
MYC	GSM808754	unknown
PRDM1	GSM1505616	unknown
ZNF324	ENCSR768HOH_2	HEK293
POLR2A	GSM889412	unknown
POLR2A	GSM1010803	unknown
ERG	GSM2086314	unknown
ZNF335	ENCSR328SUD_2	HEK293
POLR2A	GSM468191	unknown
CTCF	GSM803419	unknown
POLR2A	GSM1661790	unknown
BRD4	GSM2359452	unknown
EOMES	GSM1505630	unknown
ESR1	GSM1669089	unknown
CTCF	ENCSR102CSD_1	transverse
CEBPB	GSM1010802	unknown
RBBP5	GSM831038	unknown
ZC3H8	ENCSR494PWZ_1	K562
POLR2A	GSM935383	unknown
EP300	GSM1333963	unknown
POLR2A	GSM749821	unknown
AFF4	GSM1961563	unknown
MEF2B	GSM1647189	unknown
ERG	GSM2086312	unknown
SMAD1	GSM722399	unknown
SMC1A	GSM2247254	unknown
RELA	GSM1534735	unknown
SRF	GSM1010762	unknown
ZNF335	ENCSR328SUD_1	HEK293
RXRA	GSM2877303	unknown
YY1	ENCSR382MOM_2	liver
POLR2AphosphoS5	ENCSR369NGL_2	GM23338
SMAD4	GSM2574760	unknown
STAT1	GSM935471	unknown
RBBP5	GSM831012	unknown
RELA	GSM486295	unknown
SMC3	GSM935376	unknown
MYC	GSM748553	unknown
JMJD6	GSM2360990	unknown
FAIRE	GSM631504	unknown
NR3C1	ENCSR686PFM_2	unknown
NEUROG2	GSM1970150	unknown
FOXA1	GSM1858644	unknown
NR3C1	ENCSR385RUW_3	unknown
GATA2	GSM2817662	unknown
SETDB1	GSM935573	unknown
IKZF1	GSM1420196	unknown
ZNF76	ENCSR072LQF_2	HEK293
ZNF101	ENCSR462FWS_2	unknown
AR	GSM2235689	unknown
MAPK1	GSM2257573	unknown
AR	GSM980648	unknown
KDM5A	GSM2131194	unknown
ATF3	ENCSR205FOW_2	liver
ZBTB17	GSM1231600	unknown
TP53	GSM1624706	unknown
TP73	GSM501690	unknown
MYC	GSM894098	unknown
ESR1	GSM2443987	unknown
AR	GSM1527025	unknown
ESR1	GSM2061659	unknown
AR	GSM2716919	unknown
ZBTB33	GSM803458	unknown
FOXA1	GSM1891830	unknown
FOXA2	GSM2401447	unknown
EHMT2	GSM1644652	unknown
SUZ12	ENCSR744XTG_1	unknown
POLR2A	GSM1405132	unknown
RELA	GSM2219878	unknown
SETD1A	GSM1698352	unknown
EP300	GSM1847311	unknown
FOXA1	GSM1858656	unknown
REST	GSM1240838	unknown
CTCF	GSM749689	unknown
MCM7	ENCSR038RGL_1	K562
ZNF2	ENCSR011CKE_1	HEK293
SIX5	GSM1010879	unknown
NR3C1	GSM803371	unknown
NANOG	GSM1124071	unknown
MED1	GSM2214112	unknown
RFX1	ENCSR788XNX_2	MCF-7
POLR2A	GSM803443	unknown
FOXA1	GSM1858628	unknown
NR2C2	ENCSR750LYM_2	K562
STAT3	GSM1227210	unknown
POLR2A	GSM1192076	unknown
POLR2A	GSM1537295	unknown
ARID1A	GSM2719737	unknown
BCL3	ENCSR288EPV_1	unknown
DNMT3A	GSM2228911	unknown
MTA3	GSM1010729	unknown
SPI1	GSM1370280	unknown
SMC3	GSM2747763	unknown
MBD2	GSM1388122	unknown
CTCF	GSM586887	unknown
TCF4	GSM791409	unknown
ZFP41	ENCSR348ONY_2	HEK293
KDM4A	GSM1003479	unknown
TCF7L1	GSM2065888	unknown
POLR2A	GSM2090929	unknown
FOXA2	GSM1505637	unknown
BCL11A	ENCSR021DJC_1	HEK293
SIN3A	GSM1010882	unknown
ZNF143	GSM935436	unknown
CREB1	GSM1010896	unknown
HES1	ENCSR091JXL_1	K562
RNF2	GSM850474	unknown
CTCF	GSM733762	unknown
ESR1	GSM2915383	unknown
POLR2A	GSM748532	unknown
CEBPA	GSM788364	unknown
POLR2A	GSM733643	unknown
WDR5	GSM1517567	unknown
CDK9	GSM1085735	unknown
DDX21	GSM2371331	unknown
SOX2	GSM1701825	unknown
RING1	GSM1138591	unknown
CTCF	GSM749699	unknown
SMAD1	GSM1505746	unknown
CTCF	GSM1010903	unknown
PRDM10	ENCSR223TAV_1	HEK293
ZNF366	ENCSR106EBH_1	HEK293
CTCF	GSM1234100	unknown
POLR2A	GSM2064702	unknown
RELA	GSM486294	unknown
CEBPD	GSM1010906	unknown
BHLHE40	GSM935430	unknown
POLR2A	GSM486482	unknown
AR	GSM2086304	unknown
CHD1	GSM874641	unknown
ERG	GSM726985	unknown
PPARG	GSM2042856	unknown
TRIM28	GSM607491	unknown
GLI2	GSM2661793	unknown
TRRAP	GSM566164	unknown
GATA4	GSM2280004	unknown
ESR1	GSM631452	unknown
MXI1	GSM935497	unknown
SMC1A	GSM1208678	unknown
ZNF547	GSM2466587	unknown
RARG	GSM1469985	unknown
POLR2A	GSM1116655	unknown
ZNF366	ENCSR106EBH_2	HEK293
POLR2A	GSM1545662	unknown
CTCF	GSM1022630	unknown
ZNF584	ENCSR149ZBI_2	K562
ZBTB1	ENCSR927UJQ_1	HEK293
CTCF	GSM1010734	unknown
KLF15	GSM2519958	unknown
GATA3	GSM1241756	unknown
ESR1	GSM2305316	unknown
CBX3	GSM1010732	unknown
ZNF280D	ENCSR451CYX_1	HEK293
MYB	GSM1859068	unknown
ZNF121	ENCSR224QDY_2	HEK293
BCL11A	GSM2771529	unknown
CTCF	GSM2544246	unknown
EP300	GSM2330560	unknown
POLR2A	GSM1164248	unknown
MYC	GSM935320	unknown
AR	GSM1410768	unknown
HNF4A	GSM1535701	unknown
CTCF	GSM1055825	unknown
ZKSCAN8	ENCSR448UKK_2	K562
EZH2	GSM717405	unknown
POLR2A	GSM1070127	unknown
KAT8	GSM393948	unknown
EGR2	GSM785503	unknown
POLR2A	ENCSR367UUC_1	gastroesophageal
AR	GSM1576447	unknown
FLI1	GSM863153	unknown
ELF1	GSM1517551	unknown
RFX1	GSM1208670	unknown
CEBPB	ENCSR269IUA_3	unknown
RUNX1	GSM850823	unknown
FOS	GSM610336	unknown
POLR2A	GSM1480367	unknown
FAM208A	GSM2789808	unknown
NELFA	GSM2465092	unknown
RUNX1	GSM1632640	unknown
MAX	GSM1008618	unknown
POLR2A	GSM2113508	unknown
FLI1	GSM2436676	unknown
CTCF	GSM646432	unknown
BCL11A	GSM803388	unknown
POLR2A	GSM2151650	unknown
POLR2A	GSM317601	unknown
YY1	GSM803498	unknown
POLR2A	GSM2113512	unknown
PPARG	GSM1571732	unknown
POLR2A	GSM1845139	unknown
POLR2A	GSM1143125	unknown
TRIM28	GSM2067350	unknown
BCL6	GSM640427	unknown
LYL1	GSM1097882	unknown
FOSL2	ENCSR775UFR_1	unknown
POLR2A	GSM1416815	unknown
MYC	GSM2131216	unknown
CDX2	GSM575225	unknown
BCAT1	GSM791407	unknown
POLR2A	GSM970259	unknown
CTCF	GSM749668	unknown
STAG1	GSM1234060	unknown
ESR1	GSM2467224	unknown
NANOG	GSM1505702	unknown
PLRG1	ENCSR019KPC_1	HepG2
IKZF1	ENCSR874AFU_2	GM12878
MKL2	GSM2436684	unknown
GATA3	GSM1855968	unknown
MED1	GSM2330555	unknown
SIRT1	GSM2474870	unknown
CTCF	GSM749728	unknown
BCOR	GSM898061	unknown
YY1	GSM2597231	unknown
MAX	GSM935344	unknown
NOTCH1	GSM959056	unknown
BRD4	GSM1314121	unknown
SRF	GSM803477	unknown
JUND	GSM754331	unknown
FOXA2	GSM1551471	unknown
AR	GSM1410787	unknown
STAT5	GSM1056923	unknown
FOXA1	GSM1463464	unknown
NR1H2	GSM2042845	unknown
SPI1	GSM1333967	unknown
POU5F1	GSM1124067	unknown
FOSL2	ENCSR593DGU_1	A549
CTCF	GSM1233914	unknown
ZNF100	GSM2466467	unknown
MITF	GSM1517751	unknown
POLR2A	GSM1416814	unknown
CTCF	GSM1234180	unknown
AR	GSM1716770	unknown
CTCF	GSM1003633	unknown
NR3C1	GSM1607525	unknown
POLR2A	GSM1777594	unknown
BMI1	GSM1138595	unknown
CTCF	GSM2877979	unknown
STAT3	GSM1227207	unknown
ASCL1	GSM1700639	unknown
BRD4	GSM823378	unknown
ICE1	GSM1162754	unknown
JARID2	GSM1180161	unknown
GRHL3	GSM2498561	unknown
CTCF	GSM822305	unknown
POLR2A	GSM2690206	unknown
AR	GSM2277159	unknown
KDM1A	GSM1003570	unknown
AFF4	GSM1405083	unknown
POLR2A	GSM1727109	unknown
RCOR1	GSM1387029	unknown
NR3C1	GSM803357	unknown
ESR1	GSM1076110	unknown
TAL1	GSM2877124	unknown
NKX2-1	GSM983102	unknown
CTCF	GSM749717	unknown
JUN	GSM935364	unknown
POLR2A	GSM486456	unknown
SMARCC1	GSM1835896	unknown
RAD21	GSM2486815	unknown
PR	GSM1669038	unknown
NFKB2	GSM1556337	unknown
AR	GSM2427950	unknown
FAIRE	GSM748517	unknown
E2F4	GSM935330	unknown
RELA	GSM486289	unknown
MAX	GSM2151471	unknown
FOSL2	ENCSR686HIU_2	unknown
GATA1	GSM722394	unknown
BRD4	GSM1961133	unknown
NCOR1	GSM959631	unknown
AR	GSM1071293	unknown
POLR2A	GSM833286	unknown
MYC	GSM1008619	unknown
REST	GSM1290146	unknown
CUX1	ENCSR017CEO_1	MCF-7
GABPA	GSM1193659	unknown
POLR2A	GSM1164247	unknown
KDM1A	GSM1542271	unknown
RUNX1	ENCSR588AKU_2	K562
ETS1	GSM1009650	unknown
SPI1	GSM1816090	unknown
SUPT5H	GSM2295948	unknown
POLR2A	GSM1482885	unknown
RELA	GSM604659	unknown
GRHL2	GSM1825678	unknown
POLR2A	GSM2467781	unknown
ATF2	GSM1010780	unknown
POLR2A	GSM2370637	unknown
AR	GSM1358405	unknown
HOXB13	GSM1208636	unknown
STAT2	GSM2574755	unknown
POLR2A	GSM1579354	unknown
AR	GSM2797088	unknown
GATA4	GSM1505654	unknown
POLR2A	GSM1340255	unknown
POLR2A	GSM2113333	unknown
SPI1	GSM1681424	unknown
GATA3	GSM2644579	unknown
CTCF	GSM2747712	unknown
POLR2A	GSM1622635	unknown
NKX2-1	GSM2310998	unknown
SP2	GSM803402	unknown
CEBPB	GSM935630	unknown
FOXA1	GSM1534737	unknown
SMARCA4	GSM601399	unknown
NFRKB	ENCSR657EOF_2	K562
POLR2A	GSM1037523	unknown
CTCF	GSM1383877	unknown
AR	GSM1308229	unknown
AR	GSM2186464	unknown
ZBTB7A	GSM803473	unknown
STAT1	GSM935488	unknown
GATA4	GSM1505646	unknown
TP53	GSM2501568	unknown
BRD4	GSM1975031	unknown
GLIS1	GSM1208752	unknown
USF1	GSM803429	unknown
SCRT2	ENCSR338DGO_1	HEK293
SMARCC1	GSM2409677	unknown
ZFX	GSM2741768	unknown
TOP1	GSM2058675	unknown
ESR1	GSM1470021	unknown
POLR2A	GSM1010819	unknown
ESR1	GSM2648918	unknown
ESR1	GSM631454	unknown
POLR2A	GSM1579356	unknown
MEF2B	GSM1703911	unknown
DNMT1	ENCSR987PBI_1	K562
MNT	GSM1208771	unknown
PIAS1	GSM2219873	unknown
STAG1	GSM1233912	unknown
FOXA2	GSM2977503	unknown
FLI1	GSM1517537	unknown
CTCF	GSM1910997	unknown
POLR2A	GSM1820478	unknown
MED1	GSM1195555	unknown
ZNF644	ENCSR729HVR_2	K562
ESR1	GSM1235008	unknown
PRMT1	GSM2977012	unknown
CEBPB	GSM2330567	unknown
EP300	ENCSR467VXG_3	unknown
LANA	GSM1359494	unknown
SUMO2	GSM1622617	unknown
RUNX1	GSM722706	unknown
POLR2A	GSM1231606	unknown
POLR2A	GSM1267405	unknown
CTCF	GSM1234146	unknown
PR	GSM2112801	unknown
PR	GSM1340263	unknown
CEBPB	GSM2804467	unknown
POLR2A	GSM1280297	unknown
CTCF	GSM1224660	unknown
KDM1A	ENCSR908CMW_2	K562
C17orf49	GSM566163	unknown
KDM1A	ENCSR908CMW_1	K562
AR	GSM1308230	unknown
POU5F1	ENCSR264RJX_2	GM23338
POLR2A	GSM869308	unknown
NR3C1	GSM1858617	unknown
CTCF	GSM1003581	unknown
BRD4	GSM1503859	unknown
CTCF	GSM1022650	unknown
CREB1	GSM801050	unknown
ZBTB17	GSM1231599	unknown
POLR2A	GSM1872291	unknown
SPDEF	GSM2311000	unknown
TRIM24	GSM1697903	unknown
POLR2A	GSM1845145	unknown
NR3C1	GSM2103054	unknown
MTA2	ENCSR411UYA_1	K562
KMT2A	GSM2364544	unknown
MLLT1	ENCSR107GRP_2	K562
ESR1	GSM1643952	unknown
ESR1	GSM2125161	unknown
BRD3	GSM1328974	unknown
FOXM1	GSM1259354	unknown
NELFE	GSM2151659	unknown
AR	GSM1328950	unknown
POLR2A	GSM1226377	unknown
CDK9	GSM1527694	unknown
SOX11	GSM1260312	unknown
YY1	GSM630810	unknown
PAX5	GSM1086293	unknown
GATA3	GSM1975913	unknown
CHD1	GSM935296	unknown
ARNTL	GSM1239489	unknown
CEBPB	GSM1684636	unknown
FOXA1	GSM1576451	unknown
GABPA	GSM612960	unknown
CTCF	GSM1234122	unknown
ESR1	GSM798397	unknown
FOXM1	GSM1876188	unknown
KLF15	GSM2026885	unknown
ZNF382	GSM2026857	unknown
ZNF100	GSM2466465	unknown
MED1	GSM1587903	unknown
ESR1	GSM2797107	unknown
BRD4	GSM1890755	unknown
PPARG	GSM534494	unknown
AR	GSM2086303	unknown
POLR2A	GSM2151661	unknown
ESR1	GSM798432	unknown
TBP	GSM935303	unknown
POLR2A	GSM2360005	unknown
GATA1	GSM607949	unknown
JUNB	ENCSR795IYP_2	K562
POLR2A	GSM1622634	unknown
TAL1	GSM838001	unknown
POLR2A	GSM696844	unknown
STAT5B	GSM1577751	unknown
SUMO1	GSM1012760	unknown
POLR2A	GSM2579070	unknown
GATA6	GSM1255513	unknown
POU2F2	GSM803534	unknown
POLR2A	GSM2188498	unknown
ETV1	GSM1145322	unknown
POLR2A	GSM1091920	unknown
FGFR1	GSM2439181	unknown
POLR2A	GSM1847368	unknown
POLR2A	GSM1533410	unknown
SUMO2	GSM1176704	unknown
BRD4	GSM1033753	unknown
GATA3	GSM2817660	unknown
RBPJ	GSM729854	unknown
TEAD4	GSM1010875	unknown
POLR2A	GSM353617	unknown
FLI1	GSM2026051	unknown
FOXK2	ENCSR508DQA_2	K562
ARID3A	GSM2574781	unknown
POLR2A	GSM1845166	unknown
TRIM22	ENCSR835XKS_1	GM12878
TFAP2A	GSM2817667	unknown
EP300	ENCSR770OTI_1	unknown
RFX1	ENCSR788XNX_1	MCF-7
POLR2A	GSM1537293	unknown
ESR1	GSM470419	unknown
CTCF	GSM1234182	unknown
CTCF	GSM1234198	unknown
TCF4	GSM2545828	unknown
POLR2A	GSM588576	unknown
CTCF	GSM646373	unknown
CTCF	GSM489291	unknown
BIRA	GSM1524328	unknown
CTCF	GSM1006885	unknown
IRF1	ENCSR854MCV_2	K562
FOXA1	GSM958752	unknown
GATA3	GSM1010727	unknown
JUND	GSM935541	unknown
ZBTB33	GSM803418	unknown
BAHD1	GSM1290243	unknown
CTCF	GSM749749	unknown
BRD4	GSM2359442	unknown
HIRA	GSM1358817	unknown
SIX5	GSM803338	unknown
SREBF1	ENCSR197DJH_2	MCF-7
POLR2A	GSM1305214	unknown
NBN	ENCSR591EBL_2	MCF-7
CTCF	GSM749751	unknown
POLR2A	GSM2519954	unknown
STAT3	GSM2278003	unknown
POLR3A	GSM501714	unknown
SOX2	GSM1364026	unknown
NR3C1	GSM2103055	unknown
POLR2A	GSM802747	unknown
BRD4	GSM2359454	unknown
FOSL2	GSM1010748	unknown
POLR2A	GSM1727102	unknown
EHMT2	GSM1644649	unknown
ATF4	ENCSR669LCD_1	unknown
POLR2A	GSM1505719	unknown
EP300	GSM2330584	unknown
HDAC2	GSM803471	unknown
POLR2A	GSM1846794	unknown
SUMO2	GSM1777610	unknown
PTRF	ENCSR126FZN_1	K562
FOXA1	GSM759663	unknown
POLR2A	GSM1296638	unknown
CEBPB	GSM1684642	unknown
BRD4	GSM2098179	unknown
YY1	GSM803535	unknown
TEAD1	GSM1515742	unknown
GATA3	GSM2644572	unknown
POU5F1	GSM896985	unknown
FOXA1	GSM2480814	unknown
CTCF	GSM1007998	unknown
BRD4	GSM1527929	unknown
SMAD3	GSM539547	unknown
POLR2A	GSM1579359	unknown
KMT2A	GSM2364542	unknown
TP53	GSM1418970	unknown
RBPJ	GSM729853	unknown
HDGF	ENCSR200CUA_2	MCF-7
MED1	GSM894078	unknown
POLR2A	GSM1448891	unknown
SMARCB1	GSM601398	unknown
STAT3	GSM1227204	unknown
POLR2A	ENCSR299CAV_1	breast
ZSCAN23	ENCSR705ASR_1	HEK293
EBNA3C	GSM1273052	unknown
CTCF	GSM947527	unknown
CDX2	GSM575224	unknown
FLI1	GSM790207	unknown
AR	GSM1207904	unknown
AR	GSM817353	unknown
TP63	GSM1645714	unknown
POLR2A	GSM1670896	unknown
RNF2	GSM585229	unknown
E2F1	GSM2046836	unknown
RELA	GSM1961561	unknown
ESR1	GSM2970403	unknown
ESR1	GSM631467	unknown
RNF2	GSM2805878	unknown
GATA4	GSM1505649	unknown
GATA2	GSM722414	unknown
POLR2A	GSM1592485	unknown
EP300	GSM602299	unknown
SPI1	GSM1010843	unknown
CTCF	GSM646335	unknown
NRF1	GSM1462478	unknown
CTCF	GSM2247248	unknown
POLR2A	GSM1727107	unknown
RELA	GSM1239484	unknown
SMAD3	GSM897118	unknown
JUND	GSM1240819	unknown
ZNF282	GSM2466515	unknown
SPI1	GSM785501	unknown
ESR1	GSM2242431	unknown
ZNF318	ENCSR352BJL_1	K562
TCF7L1	GSM2124633	unknown
CEBPA	GSM614634	unknown
MAX	GSM1010728	unknown
BRD4	GSM1038275	unknown
BRCA1	GSM1340576	unknown
RAD21	ENCSR230ZWH_1	liver
BRD4	GSM2188492	unknown
FOXM1	GSM1464020	unknown
EP300	GSM1517096	unknown
REST	GSM803478	unknown
FOXM1	GSM1001000	unknown
SIRT1	GSM2474864	unknown
AFF4	GSM2405923	unknown
CTCF	GSM614636	unknown
ESR1	GSM1325249	unknown
RELA	GSM2360960	unknown
EP300	GSM1470015	unknown
PRDM2	ENCSR714LYA_2	HEK293
BRD4	GSM1890744	unknown
NELFE	GSM2151658	unknown
POLR2A	GSM2295947	unknown
TFAP2A	GSM1817200	unknown
RFX1	ENCSR066TET_2	MCF-7
GATAD1	GSM566161	unknown
ZKSCAN1	ENCSR882ERE_1	K562
POLR2A	GSM894100	unknown
FOXA1	GSM1691164	unknown
EP300	GSM803499	unknown
EP300	GSM1669059	unknown
AR	GSM1358398	unknown
CTCF	GSM935611	unknown
PHF8	GSM558470	unknown
STAG1	GSM614626	unknown
CTCF	GSM808772	unknown
MECP2	GSM1154505	unknown
EZH2	GSM1385750	unknown
PBX3	GSM803532	unknown
POLR2A	GSM889411	unknown
EHMT2	GSM1644650	unknown
ESR1	GSM631461	unknown
NR3C1	ENCSR287FWE_1	unknown
FOXA2	GSM1239395	unknown
CDK9	GSM1033756	unknown
VDR	GSM934617	unknown
AR	GSM980657	unknown
PAF1	GSM2769058	unknown
ZBTB40	ENCSR318LVG_1	MCF-7
ATF3	GSM803508	unknown
CTCF	ENCSR341VKC_1	unknown
CREB1	GSM1538431	unknown
E2F7	GSM991663	unknown
ZNF438	ENCSR559SSU_1	unknown
NR3C1	ENCSR919OXR_1	unknown
DNMT3A	GSM1607392	unknown
POLR2A	GSM1082928	unknown
SMAD3	GSM1246721	unknown
MED1	GSM2040029	unknown
CEBPG	ENCSR620VIC_1	K562
SUZ12	GSM969572	unknown
HDGF	ENCSR197ALX_2	K562
POLR2A	GSM935603	unknown
NANOG	GSM803437	unknown
SUMO2	GSM1555572	unknown
ZBTB48	GSM2543153	unknown
BANP	GSM1716498	unknown
HES2	ENCSR911KBJ_3	unknown
ESR1	GSM798399	unknown
CHRM2	GSM1168432	unknown
GATA3	GSM1241754	unknown
EP300	ENCSR145YCX_2	unknown
HES2	ENCSR419TWL_1	unknown
GATA3	GSM1469996	unknown
ESR1	GSM614610	unknown
CREB1	GSM801053	unknown
AR	GSM2277158	unknown
